Nome;Preco Atual (por Kg);Preco Ano Anterior (por Kg)
Cenoura;2.35;1.99
Abobora;2.08;1.83
Chuchu;2.83;1.78
Batata ;3.97;2.65
Berinjela;3.21;2.88
Pimentao;4.99;4.62
Beterraba;3.59;2.98
Brocolis;12.49;10.59
Couve Flor;13.76;10.47
Pepino;2.91;2.50
